iter	MultiClass
0	1.081626108
1	1.066462649
2	1.05549041
3	1.045788062
4	1.036506552
5	1.026268888
6	1.016014698
7	1.004028582
8	0.9933336365
9	0.9838643147
10	0.9735877477
11	0.9637111476
12	0.9493752615
13	0.9407201096
14	0.9326758753
15	0.9282905358
16	0.9196635228
17	0.9125664031
18	0.9026770009
19	0.8947412405
20	0.8873164572
21	0.8803772071
22	0.8725093926
23	0.8696258599
24	0.8632255505
25	0.8598677571
26	0.8542962405
27	0.8479173362
28	0.8394950942
29	0.833895965
30	0.8286787707
31	0.8226954326
32	0.8160229553
33	0.8116113082
34	0.8059017193
35	0.7995134489
36	0.7955532485
37	0.7903428233
38	0.7835325202
39	0.7791229672
40	0.7729981542
41	0.7682896838
42	0.7618295697
43	0.7595036516
44	0.754783256
45	0.7503061446
46	0.7460136556
47	0.7413941601
48	0.7369864551
49	0.7305370631
50	0.725106662
51	0.7193510325
52	0.7148970859
53	0.7088754284
54	0.7048586266
55	0.7013378392
56	0.6969378864
57	0.6926059405
58	0.6904305483
59	0.6851920727
60	0.6839311927
61	0.6778769307
62	0.6762268657
63	0.6707139756
64	0.6680297382
65	0.6613919078
66	0.6579568572
67	0.6542247423
68	0.6513236067
69	0.6454955043
70	0.6417228459
71	0.6385236545
72	0.6342218073
73	0.6314438367
74	0.627388898
75	0.6232505304
76	0.6193120751
77	0.6169800183
78	0.6134842992
79	0.6096224009
80	0.6069750112
81	0.6037316467
82	0.6004173134
83	0.5979778397
84	0.5941306895
85	0.589720792
86	0.5864109431
87	0.5822825925
88	0.5764543939
89	0.5726505628
90	0.5692950851
91	0.5655064703
92	0.5629713293
93	0.5599026118
94	0.5560486214
95	0.5524712243
96	0.5492419284
97	0.5463390197
98	0.5437023989
99	0.5409303148
100	0.5361538731
101	0.5310479649
102	0.5281219249
103	0.5246883362
104	0.5217090631
105	0.5182123787
106	0.5145088136
107	0.5117405944
108	0.5096936698
109	0.5074781081
110	0.5037839913
111	0.4998795432
112	0.4969876465
113	0.4944636063
