iter	Passed	Remaining
0	71	35568
1	92	22936
2	107	17823
3	120	14974
4	133	13171
5	142	11752
6	157	11098
7	174	10749
8	187	10217
9	199	9799
10	211	9399
11	222	9045
12	232	8725
13	245	8507
14	256	8287
15	267	8089
16	279	7950
17	289	7764
18	300	7618
19	313	7514
20	322	7362
21	334	7257
22	345	7156
23	355	7057
24	368	7008
25	383	6995
26	400	7016
27	418	7054
28	434	7060
29	449	7039
30	460	6974
31	472	6916
32	485	6864
33	497	6816
34	508	6756
35	520	6705
36	532	6659
37	543	6608
38	555	6561
39	565	6502
40	577	6464
41	588	6421
42	601	6393
43	614	6367
44	627	6341
45	639	6313
46	651	6276
47	664	6254
48	674	6205
49	685	6170
50	696	6132
51	709	6108
52	720	6075
53	736	6082
54	752	6091
55	766	6079
56	778	6047
57	789	6013
58	800	5985
59	810	5946
60	821	5913
61	833	5886
62	844	5860
63	856	5837
64	873	5843
65	885	5822
66	897	5802
67	909	5777
68	919	5745
69	931	5719
70	940	5683
71	951	5657
72	962	5629
73	973	5606
74	989	5606
75	1002	5590
76	1012	5564
77	1024	5542
78	1036	5525
79	1049	5508
80	1061	5489
81	1073	5471
82	1084	5449
83	1095	5424
84	1106	5400
85	1116	5375
86	1129	5360
87	1141	5345
88	1154	5333
89	1166	5312
90	1177	5292
91	1189	5274
92	1201	5257
93	1216	5256
94	1239	5284
95	1250	5262
96	1260	5238
97	1271	5216
98	1281	5189
99	1293	5172
100	1302	5144
101	1312	5122
102	1324	5106
103	1335	5083
104	1345	5062
105	1356	5041
106	1367	5022
107	1378	5003
108	1388	4979
109	1398	4959
110	1410	4943
111	1421	4922
112	1432	4906
113	1442	4885
114	1454	4870
115	1465	4850
116	1474	4827
117	1485	4808
118	1496	4791
119	1507	4773
120	1516	4750
121	1527	4732
122	1538	4716
123	1549	4698
124	1560	4680
125	1571	4665
126	1584	4654
127	1593	4631
128	1604	4615
129	1614	4595
130	1624	4576
131	1635	4558
132	1646	4542
133	1657	4526
134	1668	4510
135	1678	4492
136	1688	4473
137	1698	4455
138	1709	4440
139	1723	4431
140	1738	4427
141	1749	4410
142	1760	4395
143	1770	4378
144	1781	4361
145	1792	4346
146	1802	4329
147	1813	4312
148	1824	4298
149	1834	4281
150	1845	4265
151	1856	4251
152	1868	4237
153	1879	4222
154	1891	4209
155	1902	4194
156	1911	4177
157	1921	4160
158	1932	4144
159	1942	4127
160	1952	4112
161	1963	4096
162	1973	4080
163	1985	4068
164	1996	4052
165	2005	4034
166	2015	4018
167	2025	4003
168	2036	3989
169	2047	3973
170	2057	3958
171	2068	3944
172	2079	3929
173	2089	3914
174	2101	3902
175	2112	3888
176	2125	3879
177	2136	3865
178	2148	3853
179	2160	3841
180	2172	3829
181	2183	3814
182	2194	3800
183	2205	3787
184	2215	3772
185	2227	3759
186	2238	3746
187	2248	3731
188	2260	3718
189	2269	3703
190	2280	3690
191	2290	3674
192	2301	3660
193	2312	3647
194	2323	3634
195	2334	3620
196	2345	3607
197	2355	3592
198	2367	3580
199	2378	3568
200	2390	3556
201	2402	3544
202	2413	3530
203	2423	3516
204	2434	3503
205	2445	3489
206	2456	3476
207	2466	3462
208	2476	3447
209	2488	3435
210	2496	3419
211	2506	3405
212	2517	3392
213	2528	3378
214	2538	3365
215	2549	3352
216	2564	3344
217	2579	3336
218	2591	3325
219	2606	3317
220	2620	3308
221	2631	3295
222	2643	3283
223	2655	3271
224	2669	3263
225	2680	3249
226	2690	3235
227	2703	3224
228	2714	3212
229	2726	3200
230	2737	3188
231	2747	3173
232	2758	3161
233	2770	3149
234	2782	3137
235	2793	3124
236	2804	3112
237	2816	3100
238	2828	3088
239	2839	3076
240	2852	3065
241	2863	3052
242	2875	3040
243	2885	3027
244	2899	3017
245	2911	3005
246	2924	2995
247	2935	2983
248	2948	2971
249	2958	2958
250	2969	2946
251	2983	2936
252	2994	2923
253	3004	2910
254	3015	2897
255	3025	2883
256	3037	2871
257	3047	2858
258	3059	2846
259	3070	2834
260	3081	2821
261	3092	2809
262	3104	2797
263	3117	2786
264	3128	2774
265	3139	2762
266	3151	2750
267	3162	2737
268	3174	2726
269	3184	2712
270	3195	2700
271	3205	2687
272	3216	2674
273	3227	2662
274	3237	2649
275	3250	2637
276	3261	2625
277	3272	2613
278	3285	2602
279	3298	2591
280	3311	2580
281	3329	2573
282	3341	2562
283	3352	2550
284	3365	2539
285	3390	2536
286	3405	2527
287	3416	2515
288	3425	2501
289	3437	2489
290	3449	2477
291	3459	2464
292	3469	2451
293	3479	2437
294	3490	2425
295	3501	2412
296	3511	2400
297	3522	2387
298	3533	2375
299	3544	2363
300	3555	2350
301	3567	2338
302	3577	2325
303	3590	2314
304	3601	2302
305	3614	2291
306	3624	2278
307	3635	2266
308	3647	2254
309	3656	2241
310	3668	2229
311	3680	2217
312	3691	2205
313	3703	2193
314	3714	2181
315	3725	2169
316	3735	2156
317	3746	2143
318	3756	2131
319	3767	2119
320	3779	2107
321	3789	2094
322	3799	2082
323	3811	2070
324	3822	2058
325	3833	2046
326	3845	2034
327	3856	2022
328	3867	2010
329	3878	1997
330	3889	1986
331	3899	1973
332	3909	1960
333	3920	1948
334	3931	1936
335	3942	1924
336	3953	1912
