canonical_name,league
Ajaccio,ligue1
Ajaccio GFCO,ligue1
Alaves,laliga
Almeria,laliga
Amiens,ligue1
Angers,ligue1
Arsenal,epl
Aston Villa,epl
Atalanta,seriea
Ath Bilbao,laliga
Ath Madrid,laliga
Augsburg,bundesliga
Auxerre,ligue1
Barcelona,laliga
Barnsley,championship
Bastia,ligue1
Bayern Munich,bundesliga
Benevento,seriea
Betis,laliga
Bielefeld,bundesliga
Birmingham,championship
Blackburn,championship
Blackpool,championship
Bochum,bundesliga
Bologna,seriea
Bolton,championship
Bordeaux,ligue1
Bournemouth,championship
Brentford,championship
Brescia,seriea
Brest,ligue1
Brighton,championship
Bristol City,championship
Burnley,epl
Burton,championship
Cadiz,laliga
Caen,ligue1
Cagliari,seriea
Cardiff,championship
Carpi,seriea
Celta,laliga
Cesena,seriea
Charlton,championship
Chelsea,epl
Chievo,seriea
Clermont,ligue1
Cordoba,laliga
Coventry,championship
Cremonese,seriea
Crotone,seriea
Crystal Palace,epl
Darmstadt,bundesliga
Derby,championship
Dijon,ligue1
Dortmund,bundesliga
Eibar,laliga
Ein Frankfurt,bundesliga
Elche,laliga
Empoli,seriea
Espanol,laliga
Everton,epl
Evian Thonon Gaillard,ligue1
FC Koln,bundesliga
Fiorentina,seriea
Fortuna Dusseldorf,bundesliga
Freiburg,bundesliga
Frosinone,seriea
Fulham,championship
Genoa,seriea
Getafe,laliga
Girona,laliga
Granada,laliga
Greuther Furth,bundesliga
Guingamp,ligue1
Hamburg,bundesliga
Hannover,bundesliga
Heidenheim,bundesliga
Hertha,bundesliga
Hoffenheim,bundesliga
Huddersfield,championship
Huesca,laliga
Hull,epl
Ingolstadt,bundesliga
Inter,seriea
Ipswich,championship
Juventus,seriea
La Coruna,laliga
Las Palmas,laliga
Lazio,seriea
Le Havre,ligue1
Lecce,seriea
Leeds,championship
Leganes,laliga
Leicester,epl
Lens,ligue1
Levante,laliga
Leverkusen,bundesliga
Lille,ligue1
Liverpool,epl
Lorient,ligue1
Luton,championship
Lyon,ligue1
M'gladbach,bundesliga
Mainz,bundesliga
Malaga,laliga
Mallorca,laliga
Man City,epl
Man United,epl
Marseille,ligue1
Metz,ligue1
Middlesbrough,championship
Milan,seriea
Millwall,championship
Milton Keynes Dons,championship
Monaco,ligue1
Montpellier,ligue1
Monza,seriea
Nancy,ligue1
Nantes,ligue1
Napoli,seriea
Newcastle,epl
Nice,ligue1
Nimes,ligue1
Norwich,championship
Nott'm Forest,championship
Nurnberg,bundesliga
Osasuna,laliga
Paderborn,bundesliga
Palermo,seriea
Paris SG,ligue1
Parma,seriea
Pescara,seriea
Peterboro,championship
Plymouth,championship
Preston,championship
QPR,epl
RB Leipzig,bundesliga
Reading,championship
Real Madrid,laliga
Reims,ligue1
Rennes,ligue1
Roma,seriea
Rotherham,championship
Salernitana,seriea
Sampdoria,seriea
Sassuolo,seriea
Schalke 04,bundesliga
Sevilla,laliga
Sheffield United,championship
Sheffield Weds,championship
Sociedad,laliga
Southampton,epl
Sp Gijon,laliga
Spal,seriea
Spezia,seriea
St Etienne,ligue1
Stoke,epl
Strasbourg,ligue1
Stuttgart,bundesliga
Sunderland,epl
Swansea,epl
Torino,seriea
Tottenham,epl
Toulouse,ligue1
Troyes,ligue1
Udinese,seriea
Union Berlin,bundesliga
Valencia,laliga
Valladolid,laliga
Vallecano,laliga
Venezia,seriea
Verona,seriea
Villarreal,laliga
Watford,championship
Werder Bremen,bundesliga
West Brom,epl
West Ham,epl
Wigan,championship
Wolfsburg,bundesliga
Wolves,championship
Wycombe,championship
