raw_name,canonical_name
AFC Bournemouth,Bournemouth
Arsenal,Arsenal
Aston Villa,Aston Villa
Bayer 04 Leverkusen,Leverkusen
Borussia Dortmund,Dortmund
Brentford,Brentford
Brighton & Hove Albion,
Burnley,Burnley
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Darmstadt 98,Darmstadt
Eintracht Frankfurt,Ein Frankfurt
Everton,Everton
FC Augsburg,Augsburg
FC Bayern München,Bayern Munich
FC Köln,FC Koln
FC Union Berlin,Union Berlin
Fulham,Fulham
Heidenheim,Heidenheim
Hertha BSC,Hertha
Leeds United,Sheffield United
Leicester City,Leicester
Liverpool,Liverpool
Luton Town,Luton
Manchester City,Man City
Manchester United,Man United
Newcastle United,Newcastle
Nottingham Forest,Nott'm Forest
RB Leipzig,RB Leipzig
SC Freiburg,Freiburg
Schalke 04,Schalke 04
Sheffield United,Sheffield United
Southampton,Southampton
TSG Hoffenheim,Hoffenheim
Tottenham Hotspur,Tottenham
VfB Stuttgart,Stuttgart
VfL Wolfsburg,Wolfsburg
Werder Bremen,Werder Bremen
West Ham United,West Ham
Wolverhampton Wanderers,
Brighton & Hove Albion,Brighton
Wolverhampton Wanderers,Wolves
